"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","GeoRooted","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"75","1","75","11","11","11","124.0000","9.0000","29.0000","0.0000","41.2311","44.0000","7.0000","31.7805"
"76","1","76","11","11","11","115.0000","9.0000","25.0000","0.0000","38.2361","38.0000","6.0000","30.0998"
"77","1","77","11","11","11","121.0000","9.0000","27.0000","0.0000","39.9249","42.0000","6.0000","31.6544"
"78","1","78","11","11","11","127.0000","9.0000","31.0000","0.0000","41.1096","36.0000","6.0000","32.1559"
"79","1","79","11","11","11","105.0000","9.0000","23.0000","0.0000","35.7491","32.0000","6.0000","28.4956"
"80","1","80","11","11","11","117.0000","9.0000","28.0000","0.0000","40.8167","44.0000","6.0000","31.1769"
"81","1","81","11","11","11","44.0000","7.0000","10.0000","0.0000","19.6469","16.0000","4.0000","14.5602"
"82","1","82","11","11","11","120.0000","9.0000","26.0000","0.0000","40.4228","44.0000","5.0000","31.9687"
"83","1","83","11","11","11","107.0000","8.0000","20.0000","0.0000","31.6228","30.0000","5.0000","27.4591"
"84","1","84","11","11","11","137.0000","9.0000","31.0000","0.0000","41.1825","42.0000","7.0000","32.9848"
"85","1","85","11","11","11","103.0000","9.0000","24.0000","0.0000","37.0135","36.0000","6.0000","28.4956"
"86","1","86","11","11","11","131.0000","9.0000","29.0000","0.0000","41.9285","48.0000","6.0000","33.0757"
"87","1","87","11","11","11","114.0000","9.0000","26.0000","0.0000","38.9358","38.0000","7.0000","30.1330"
"88","1","88","11","11","11","127.0000","9.0000","27.0000","0.0000","38.9615","40.0000","7.0000","31.6544"
"89","1","89","11","11","11","93.0000","9.0000","24.0000","0.0000","35.7491","34.0000","7.0000","26.6083"
"90","1","90","11","11","11","124.0000","9.0000","31.0000","0.0000","41.8330","40.0000","6.0000","32.1870"
"91","1","91","11","11","11","76.0000","9.0000","18.0000","0.0000","31.7175","30.0000","6.0000","23.2379"
"92","1","92","11","11","11","102.0000","9.0000","24.0000","0.0000","36.9053","40.0000","6.0000","27.7489"
"93","1","93","11","11","11","135.0000","9.0000","31.0000","0.0000","42.1426","44.0000","7.0000","33.4963"
"94","1","94","11","11","11","113.0000","9.0000","27.0000","0.0000","39.7744","36.0000","5.0000","30.7246"
"95","1","95","11","11","11","84.0000","9.0000","21.0000","0.0000","33.8526","30.0000","6.0000","25.4165"
"96","1","96","11","11","11","109.0000","9.0000","22.0000","0.0000","33.4963","32.0000","7.0000","27.5318"
"97","1","97","11","11","11","116.0000","9.0000","27.0000","0.0000","38.8330","36.0000","5.0000","30.4302"
"98","1","98","11","11","11","148.0000","9.0000","37.0000","0.0000","45.1885","52.0000","7.0000","35.3836"
"99","1","99","11","11","11","114.0000","9.0000","27.0000","0.0000","38.2884","38.0000","6.0000","29.8329"
"100","1","100","11","11","11","110.0000","9.0000","24.0000","0.0000","35.6371","34.0000","6.0000","28.4956"
"101","1","101","11","11","11","76.0000","9.0000","18.0000","0.0000","29.3598","28.0000","5.0000","20.9284"
