"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric","Quartet","PathDiffernce","RF(0.5)","MatchingSplit","UMAST"
"526","1","526","71","61","61","24291.0000","59.0000","1347.0000","391.5737","660.0000","50.0000","207.6969","346089.0000","413.5795","58.0000","635.0000","48.0000"
"527","1","527","71","61","61","24135.0000","59.0000","1351.0000","379.6946","640.0000","51.0000","207.1859","342315.0000","402.1443","58.0000","613.0000","48.0000"
"528","1","528","71","61","61","24206.0000","59.0000","1322.0000","388.6644","670.0000","49.0000","206.6833","355421.0000","412.4803","58.0000","644.0000","48.0000"
"529","1","529","71","61","61","24042.0000","59.0000","1353.0000","405.3961","640.0000","49.0000","208.9115","341020.0000","409.3800","58.0000","613.0000","47.0000"
"530","1","530","71","61","61","24096.0000","58.0000","1347.0000","381.3371","636.0000","50.0000","204.8316","348015.0000","404.5244","57.0000","616.0000","49.0000"
"531","1","531","71","61","61","23687.0000","59.0000","1376.0000","389.0835","660.0000","50.0000","207.9279","352236.0000","408.2230","58.0000","638.0000","49.0000"
"532","1","532","71","61","61","24334.0000","59.0000","1352.0000","373.2533","652.0000","50.0000","208.0288","348408.0000","394.8316","58.0000","627.0000","48.0000"
"533","1","533","71","61","61","23728.0000","59.0000","1308.0000","385.4582","638.0000","49.0000","206.4267","346105.0000","402.0174","58.0000","601.0000","47.0000"
"534","1","534","71","61","61","21515.0000","58.0000","1268.0000","346.3149","578.0000","48.0000","197.3423","330060.0000","373.9866","57.0000","546.0000","47.0000"
"535","1","535","71","61","61","23636.0000","59.0000","1324.0000","381.7172","626.0000","49.0000","204.7926","347134.0000","404.4156","58.0000","602.0000","49.0000"
"536","1","536","71","61","61","24368.0000","59.0000","1356.0000","387.6184","654.0000","50.0000","207.0362","353188.0000","407.0111","58.0000","637.0000","49.0000"
"537","1","537","71","61","61","22826.0000","59.0000","1330.0000","405.0333","636.0000","49.0000","203.2683","334801.0000","411.8471","58.0000","601.0000","49.0000"
"538","1","538","71","61","61","24562.0000","59.0000","1352.0000","363.6784","634.0000","49.0000","205.9806","329275.0000","388.4765","58.0000","591.0000","45.0000"
"539","1","539","71","61","61","24322.0000","59.0000","1365.0000","380.6232","658.0000","50.0000","206.5188","352634.0000","407.7843","58.0000","637.0000","49.0000"
"540","1","540","71","61","61","24205.0000","59.0000","1292.0000","372.0188","640.0000","49.0000","206.0922","348520.0000","391.7499","58.0000","603.0000","48.0000"
"541","1","541","71","61","61","23969.0000","59.0000","1326.0000","392.0765","644.0000","49.0000","209.3466","351526.0000","408.0000","58.0000","620.0000","47.0000"
"542","1","542","71","61","61","25029.0000","59.0000","1362.0000","398.4194","656.0000","49.0000","210.0524","352053.0000","413.7753","58.0000","639.0000","49.0000"
"543","1","543","71","61","61","23940.0000","59.0000","1348.0000","381.4918","652.0000","50.0000","205.9660","353411.0000","408.8056","58.0000","633.0000","49.0000"
"544","1","544","71","61","61","25133.0000","59.0000","1339.0000","362.0221","652.0000","48.0000","207.1521","350783.0000","394.6847","58.0000","618.0000","45.0000"
"545","1","545","71","61","61","24684.0000","59.0000","1343.0000","368.0489","636.0000","50.0000","204.3233","350867.0000","398.8408","58.0000","616.0000","49.0000"
"546","1","546","71","61","61","24278.0000","59.0000","1344.0000","378.7215","646.0000","50.0000","204.7926","349677.0000","404.7444","58.0000","629.0000","49.0000"
"547","1","547","71","61","61","24697.0000","59.0000","1346.0000","380.6994","642.0000","49.0000","207.3692","345050.0000","399.9850","58.0000","621.0000","48.0000"
"548","1","548","71","61","61","22898.0000","58.0000","1269.0000","391.6248","648.0000","48.0000","205.3095","352330.0000","414.0821","58.0000","632.0000","48.0000"
"549","1","549","71","61","61","23255.0000","59.0000","1359.0000","397.4494","656.0000","49.0000","208.8109","345484.0000","412.3857","58.0000","625.0000","49.0000"
"550","1","550","71","61","61","24149.0000","59.0000","1347.0000","374.0856","654.0000","49.0000","207.1956","352633.0000","398.9160","58.0000","627.0000","47.0000"
"551","1","551","71","61","61","24002.0000","59.0000","1293.0000","378.9301","636.0000","48.0000","205.7474","347692.0000","401.0711","58.0000","608.0000","48.0000"
"552","1","552","71","61","61","22832.0000","59.0000","1347.0000","371.8709","654.0000","49.0000","201.9109","345353.0000","400.8641","58.0000","622.0000","48.0000"
"553","1","553","71","61","61","21319.0000","59.0000","1229.0000","364.6423","580.0000","45.0000","196.7892","325402.0000","382.0236","58.0000","544.0000","44.0000"
"554","1","554","71","61","61","24158.0000","59.0000","1336.0000","402.0124","650.0000","51.0000","209.4994","349693.0000","416.4397","58.0000","633.0000","50.0000"
