"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"65","1","65","71","71","71","38825.0000","69.0000","1846.0000","577.1551","868.0000","58.0000","312.4484"
"66","1","66","71","71","71","38334.0000","69.0000","1918.0000","569.1713","864.0000","57.0000","309.6062"
"67","1","67","71","71","71","38748.0000","69.0000","1785.0000","594.3030","872.0000","58.0000","317.0994"
"68","1","68","71","71","71","40164.0000","68.0000","1859.0000","591.5674","906.0000","60.0000","317.3074"
"69","1","69","71","71","71","38872.0000","69.0000","1899.0000","557.4388","898.0000","60.0000","302.8531"
"70","1","70","71","71","71","39633.0000","69.0000","1893.0000","571.9948","882.0000","59.0000","309.8580"
"71","1","71","71","71","71","38148.0000","69.0000","1892.0000","586.4725","906.0000","59.0000","310.1870"
"72","1","72","71","71","71","38551.0000","69.0000","1890.0000","586.5492","874.0000","60.0000","308.0844"
"73","1","73","71","71","71","37905.0000","69.0000","1900.0000","569.1889","884.0000","58.0000","307.3955"
"74","1","74","71","71","71","38846.0000","69.0000","1821.0000","567.6548","900.0000","59.0000","310.1064"
"75","1","75","71","71","71","38255.0000","69.0000","1898.0000","546.5437","844.0000","58.0000","304.2400"
"76","1","76","71","71","71","40514.0000","69.0000","1925.0000","595.0311","868.0000","61.0000","320.1531"
"77","1","77","71","71","71","38398.0000","69.0000","1863.0000","589.4184","890.0000","59.0000","307.1156"
"78","1","78","71","71","71","38385.0000","69.0000","1915.0000","578.2768","882.0000","59.0000","304.0526"
"79","1","79","71","71","71","39188.0000","69.0000","1870.0000","576.8917","880.0000","60.0000","310.1161"
"80","1","80","71","71","71","40176.0000","69.0000","1865.0000","583.8322","886.0000","59.0000","317.0994"
"81","1","81","71","71","71","37571.0000","68.0000","1842.0000","549.7872","816.0000","59.0000","295.2728"
"82","1","82","71","71","71","38900.0000","69.0000","1962.0000","606.8954","884.0000","61.0000","319.0611"
"83","1","83","71","71","71","39604.0000","69.0000","1884.0000","572.1049","868.0000","59.0000","317.3232"
"84","1","84","71","71","71","37458.0000","68.0000","1877.0000","565.0381","860.0000","59.0000","302.5624"
"85","1","85","71","71","71","38281.0000","69.0000","1853.0000","559.0045","848.0000","58.0000","305.9869"
"86","1","86","71","71","71","38435.0000","69.0000","1864.0000","576.7148","882.0000","58.0000","313.3401"
"87","1","87","71","71","71","39654.0000","69.0000","1894.0000","579.0596","848.0000","59.0000","314.2610"
