"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"74","1","74","27","27","27","901.0000","16.0000","129.0000","47.3709","57.0000","12.0000","30.6268"
"75","1","75","27","27","27","1687.0000","18.0000","182.0000","62.5780","91.0000","12.0000","42.5088"
"76","1","76","27","27","27","1303.0000","15.0000","129.0000","53.5537","61.0000","8.0000","37.4967"
"77","1","77","27","27","27","802.0000","16.0000","125.0000","41.8091","49.0000","12.0000","25.3377"
"78","1","78","27","27","27","646.0000","12.0000","93.0000","44.5197","37.0000","8.0000","25.7488"
"79","1","79","27","27","27","1372.0000","17.0000","163.0000","57.0438","75.0000","12.0000","38.6911"
"80","1","80","27","27","27","1186.0000","15.0000","146.0000","52.6878","52.0000","10.0000","31.3369"
"81","1","81","27","27","27","265.0000","15.0000","88.0000","41.7373","43.0000","12.0000","23.1084"
"82","1","82","27","27","27","1636.0000","16.0000","190.0000","55.9285","76.0000","12.0000","37.9868"
"83","1","83","27","27","27","1843.0000","16.0000","199.0000","62.6738","90.0000","12.0000","41.9762"
"84","1","84","27","27","27","1630.0000","17.0000","182.0000","58.6345","82.0000","12.0000","39.7115"
"85","1","85","27","27","27","772.0000","15.0000","102.0000","41.7612","43.0000","9.0000","28.1603"
"86","1","86","27","27","27","1747.0000","17.0000","196.0000","64.4515","95.0000","12.0000","44.0908"
"87","1","87","27","27","27","646.0000","13.0000","93.0000","39.2173","37.0000","9.0000","22.9783"
"88","1","88","27","27","27","1897.0000","17.0000","198.0000","64.5600","109.0000","12.0000","44.5421"
"89","1","89","27","27","27","754.0000","16.0000","94.0000","41.0122","46.0000","10.0000","28.0891"
"90","1","90","27","27","27","1267.0000","15.0000","146.0000","51.4587","61.0000","10.0000","34.0735"
"91","1","91","27","27","27","1423.0000","17.0000","169.0000","57.0088","77.0000","12.0000","38.3927"
"92","1","92","27","27","27","868.0000","18.0000","119.0000","47.3498","55.0000","10.0000","31.9531"
"93","1","93","27","27","27","1384.0000","17.0000","165.0000","55.0091","74.0000","12.0000","37.0270"
"94","1","94","27","27","27","1615.0000","16.0000","190.0000","55.2268","76.0000","12.0000","36.2905"
"95","1","95","27","27","27","1414.0000","17.0000","165.0000","57.2713","75.0000","12.0000","38.7814"
"96","1","96","27","27","27","1648.0000","16.0000","193.0000","60.1831","79.0000","12.0000","37.7624"
"97","1","97","27","27","27","172.0000","11.0000","57.0000","23.0651","28.0000","8.0000","14.1067"
"98","1","98","27","27","27","1279.0000","15.0000","138.0000","50.0000","60.0000","10.0000","34.3511"
"99","1","99","27","27","27","1402.0000","17.0000","165.0000","55.1906","74.0000","12.0000","37.3631"
"100","1","100","27","27","27","1672.0000","17.0000","190.0000","60.4152","81.0000","12.0000","40.8044"
"101","1","101","27","27","27","1897.0000","16.0000","198.0000","65.9394","105.0000","12.0000","45.8694"
"102","1","102","27","27","27","1309.0000","17.0000","172.0000","52.5167","71.0000","12.0000","39.8873"
"103","1","103","27","27","27","1732.0000","18.0000","191.0000","60.6630","91.0000","12.0000","41.7852"
"104","1","104","27","27","27","1327.0000","17.0000","149.0000","56.8859","67.0000","10.0000","37.3898"
"105","1","105","27","27","27","1705.0000","16.0000","190.0000","58.3267","84.0000","12.0000","41.2674"
"106","1","106","27","27","27","1897.0000","18.0000","198.0000","64.0312","109.0000","12.0000","44.4297"
"107","1","107","27","27","27","1636.0000","17.0000","190.0000","56.4092","80.0000","12.0000","38.0657"
"108","1","108","27","27","27","1288.0000","16.0000","146.0000","56.6922","64.0000","10.0000","37.2022"
"109","1","109","27","27","27","904.0000","17.0000","131.0000","47.6025","58.0000","12.0000","30.8545"
"110","1","110","27","27","27","1342.0000","18.0000","163.0000","53.0283","74.0000","12.0000","36.2215"
"111","1","111","27","27","27","1888.0000","17.0000","199.0000","64.6529","100.0000","12.0000","42.6146"
"112","1","112","27","27","27","1246.0000","17.0000","155.0000","50.5767","64.0000","12.0000","32.4962"
"113","1","113","27","27","27","1243.0000","17.0000","155.0000","51.3615","64.0000","12.0000","33.7787"
"114","1","114","27","27","27","1309.0000","16.0000","166.0000","54.3139","65.0000","12.0000","34.3511"
"115","1","115","27","27","27","1732.0000","17.0000","191.0000","60.4649","91.0000","12.0000","40.5832"
"116","1","116","27","27","27","1672.0000","17.0000","190.0000","61.4003","81.0000","12.0000","40.1746"
"117","1","117","27","27","27","1309.0000","17.0000","172.0000","52.4786","71.0000","12.0000","40.0125"
"118","1","118","27","27","27","1633.0000","17.0000","190.0000","55.9464","79.0000","12.0000","37.4433"
"119","1","119","27","27","27","760.0000","16.0000","133.0000","48.5180","52.0000","11.0000","29.5466"
"120","1","120","27","27","27","883.0000","18.0000","127.0000","47.7284","61.0000","11.0000","32.3265"
